customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,total_interactions,days_since_last_interaction,billing_inquiry,complaint,service_upgrade,support_call,website_visit,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
bdd640fb-0667-4ad1-9c80-317fa3b1799d,1,1,0,0,24,1,1,22.94,8457.37,0,18,1,1,2,1,6,8,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
23b8c1e9-3924-46de-beb1-3b9046685257,1,0,0,0,64,1,1,79.55,7239.27,0,9,61,2,1,0,2,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,1,0,1,0,3,1,1,103.13,6495.08,1,8,13,1,0,0,2,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
972a8469-1641-4f82-8b9d-2434e465e150,0,0,0,0,20,1,0,83.68,7947.84,1,12,62,1,1,2,2,6,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
17fc695a-07a0-4a6e-8822-e8f36c031199,0,0,1,0,62,1,1,61.22,239.08,0,17,2,3,3,0,3,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
9a1de644-815e-46d1-bb8f-aa1837f8a88b,1,0,0,0,2,0,0,99.02,1635.62,1,13,10,2,1,0,2,8,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,0,0,0,0,62,1,1,50.73,4514.64,0,17,16,5,2,0,4,6,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
6b65a6a4-8b81-48f6-b38a-088ca65ed389,0,0,0,0,39,1,1,117.31,2116.45,0,19,17,2,4,1,4,8,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
47378190-96da-4dac-b2ff-5d2a386ecbe0,0,0,1,0,24,1,1,99.6,3040.34,0,15,21,3,1,1,2,8,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
c241330b-01a9-471f-9e8a-774bcf36d58b,1,1,1,0,1,1,0,74.36,7667.73,0,15,1,4,2,1,1,7,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,1,0,0,0,10,1,1,73.4,6014.76,1,14,8,2,2,0,2,8,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
371ecd7b-27cd-4130-8722-9389571aa876,0,0,0,1,21,1,0,109.31,3783.26,0,12,55,0,0,1,4,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
1a2a73ed-562b-4f79-8374-59eef50bea63,1,0,0,0,61,1,1,75.77,8514.35,0,16,3,3,1,0,4,8,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
5be6128e-18c2-4797-a142-ea7d17be3111,1,0,1,1,67,1,0,88.3,6106.53,0,11,71,2,1,0,2,6,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,1,0,0,0,25,1,1,85.79,2862.57,0,17,42,3,3,0,3,8,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
759cde66-bacf-43d0-8b1f-9163ce9ff57f,1,1,0,0,49,1,1,82.31,6311.11,0,15,3,0,3,1,2,9,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,0,0,1,0,63,1,1,36.63,8118.16,0,16,9,5,3,0,3,5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
4b0dbb41-8d52-48f1-942c-3fe860e7a113,0,0,0,0,67,1,1,65.83,1519.77,0,14,5,3,2,0,4,5,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,1,0,0,0,34,1,0,86.31,4987.6,0,17,53,3,0,0,5,9,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,1,0,0,0,65,0,0,100.1,2461.35,0,12,7,1,1,0,5,5,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,1,0,0,0,36,1,0,42.23,5910.33,0,11,8,1,1,0,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,0,0,1,0,13,1,1,51.28,5846.84,0,16,32,0,0,2,4,10,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,0,0,0,1,42,0,0,40.62,3456.18,0,19,34,3,0,1,5,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
7412b293-4729-4739-a14f-f3d719db3ad0,0,0,0,1,4,1,1,29.43,4287.89,1,16,7,7,0,2,1,6,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
29a3b2e9-5d65-4441-9588-42dea2bc372f,1,0,1,1,61,1,0,50.68,394.91,0,20,35,3,4,1,4,8,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
ab9099a4-35a2-40ae-9af3-05535ec42e08,0,1,1,0,28,1,0,80.57,2422.59,1,18,9,3,1,0,2,12,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
aefcfad8-efc8-4849-b3aa-7efe4458a885,1,0,1,0,41,1,1,110.63,735.9,0,25,27,4,1,1,4,15,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,0,0,1,0,65,1,1,87.77,4649.44,0,12,3,1,1,1,1,8,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,0,1,0,0,17,1,1,101.8,2686.0,0,19,39,4,2,0,5,8,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
451b4cf3-6123-4df7-b656-af7229d4beef,0,1,1,0,8,1,1,109.12,3036.78,1,12,6,1,0,0,3,8,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,0,0,1,0,25,1,1,72.24,4315.275,1,16,17,1,1,0,5,9,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
5304317f-af42-412f-b838-b3268e944239,0,0,0,1,2,1,1,64.56,1806.89,1,14,21,4,0,1,3,6,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,1,0,0,1,47,1,1,80.38,3215.81,0,12,16,1,2,0,2,7,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,1,0,1,1,3,1,1,27.22,4658.02,1,20,42,3,2,0,4,11,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,1,0,1,0,18,1,1,79.13,2074.61,0,16,31,2,2,0,3,9,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
9132b63e-f162-47e4-a9c3-49e03602f8ac,1,0,1,1,62,1,0,44.17,1499.71,0,12,49,3,2,0,1,6,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,0,1,0,0,51,1,1,50.47,5165.39,0,16,15,3,2,1,4,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
