,Issue key,Rule_Score,ML_Score,Hybrid_Score,Tier,Explanation,Summary,Description
0,AML-001,100,98.46149338095671,99.38459735238268,GOOD,Ticket meets all quality standards.,Set up Unix server for data ingestion,As a data engineer I want to provision a Unix server so that incoming mainframe files can be stored and processed
1,AML-002,100,99.22842643538606,99.69137057415443,GOOD,Ticket meets all quality standards.,Configure user permissions and roles on Unix,As a security admin I want to set up role-based access control on the Unix server so that only authorized personnel can access sensitive data
2,AML-003,100,99.49020206797924,99.7960808271917,GOOD,Ticket meets all quality standards.,Create folder structure for data landing,As a data engineer I want to establish standardized folder hierarchy so that incoming files are organized by date and source
3,AML-004,100,98.45959928631012,99.38383971452404,GOOD,Ticket meets all quality standards.,Implement data validation for incoming mainframe files,As a data processor I want to validate file format and record count so that corrupt files are rejected before processing
4,AML-005,80,0.35869055533559413,48.14347622213424,BAD,Semantic hollowness: Vague language detected. | AC not in Gherkin format | Missing Assignee,Build ETL code for data transformation,As a developer I want ETL pipeline
5,AML-006,100,98.46083870893622,99.38433548357449,GOOD,Ticket meets all quality standards.,Develop Python ETL script to parse mainframe files,As a data engineer I want to write Python code that parses fixed-width mainframe files into delimited format so that downstream systems can read them
6,AML-007,100,98.46132189113675,99.3845287564547,GOOD,Ticket meets all quality standards.,Create error handling for missing or malformed records,As a data engineer I want to implement robust error handling so that processing continues even when individual records are corrupt
7,AML-008,100,99.57080867272218,99.82832346908887,GOOD,Ticket meets all quality standards.,Schedule ETL jobs using Control-M,As an operations analyst I want to configure Control-M jobs so that ETL runs automatically after files land on server
8,AML-009,100,99.25749409331253,99.70299763732501,GOOD,Ticket meets all quality standards.,Load transformed data into Oracle staging tables,As a database developer I want to load processed data into Oracle staging tables so that downstream transformations can access it
9,AML-010,80,0.35816255372056843,48.143265021488226,BAD,Semantic hollowness: Vague language detected. | AC not in Gherkin format | Missing Assignee,Implement incremental load logic,As a developer I want to load only new records
10,AML-011,100,98.4597476378424,99.38389905513696,GOOD,Ticket meets all quality standards.,Design Oracle table partitions by transaction date,As a DBA I want to implement table partitioning so that query performance improves for large datasets
11,AML-012,100,99.38557262974648,99.75422905189859,GOOD,Ticket meets all quality standards.,Build data enrichment logic to add customer risk score,As a data engineer I want to join transaction data with customer master to add risk score so that AML scenarios can prioritize high-risk customers
12,AML-013,100,98.85074324552578,99.5402972982103,GOOD,Ticket meets all quality standards.,Create transformed table for enriched transaction data,As a database developer I want to create T_CUSTOMER_TRX_ENRICHED table so that enriched data is stored separately from staging
13,AML-014,100,99.26185864922947,99.7047434596918,GOOD,Ticket meets all quality standards.,Implement customer segmentation logic,As a business analyst I want to segment customers based on transaction volume and risk profile so that AML monitoring is risk-based
14,AML-015,75,95.44216913323844,83.17686765329537,GOOD,Ticket meets all quality standards.,Build segmentation table SEG_CUSTOMER_CLASSIFICATION,As a developer I want to store customer segments in a dedicated table
15,AML-016,100,99.32335233395405,99.72934093358162,GOOD,Ticket meets all quality standards.,Load customer segments into Oracle,As a data engineer I want to load segmentation output into Oracle so that it's available for scenario execution
16,AML-017,100,98.45938224210653,99.38375289684262,GOOD,Ticket meets all quality standards.,Integrate NORKOM AML scenario engine,As a systems integrator I want to connect NORKOM engine to our processed data so that AML scenarios can execute
17,AML-018,100,99.99906634885119,99.99962653954049,GOOD,Ticket meets all quality standards.,Implement AML Scenario 1 - Large Transaction Detection,As a compliance officer I want to detect single transactions above threshold so that potential money laundering is flagged
18,AML-019,100,99.4453352771793,99.77813411087172,GOOD,Ticket meets all quality standards.,Implement AML Scenario 2 - Rapid Movement Detection,As a compliance officer I want to detect rapid movement of funds between accounts so that layering attempts are identified
19,AML-020,100,99.11285397656061,99.64514159062425,GOOD,Ticket meets all quality standards.,Implement AML Scenario 3 - High Risk Country Transfer,As a compliance officer I want to flag transfers to or from OFAC-sanctioned countries so that regulatory violations are prevented
20,AML-021,75,31.007177539595848,57.40287101583834,BAD,Semantic hollowness: Vague language detected. | AC not in Gherkin format | Due date is missing or invalid | Missing Assignee,Implement AML Scenario 4 - Unusual Velocity Detection,As a fraud analyst I want to detect accounts with abnormal transaction velocity
21,AML-022,100,98.90793615402083,99.56317446160833,GOOD,Ticket meets all quality standards.,Store AML alerts in Oracle alert table,As a database developer I want to persist all generated alerts so that they can be queried for reporting
22,AML-023,100,94.17598879912367,97.67039551964947,GOOD,Ticket meets all quality standards.,Implement alert deduplication logic,As a compliance officer I want to avoid duplicate alerts for the same transaction so that operational team isn't overwhelmed
23,AML-024,100,97.75258277435812,99.10103310974324,GOOD,Ticket meets all quality standards.,Build NORKOM UI integration for alert display,As a UI developer I want to display alerts in NORKOM dashboard so that operations team can review and investigate
24,AML-025,80,97.80488056202313,87.12195222480926,GOOD,Ticket meets all quality standards.,Create alert detail view with transaction history,As an investigator I want to see customer's full transaction history when reviewing an alert
25,AML-026,100,98.46184534702664,99.38473813881066,GOOD,Ticket meets all quality standards.,Implement daily alert summary email,As a compliance manager I want to receive daily digest of new alerts so that I can track operational metrics
26,AML-027,100,98.45819548446191,99.38327819378478,GOOD,Ticket meets all quality standards.,Set up monitoring for data ingestion failures,As an operations lead I want to be alerted when file ingestion fails so that I can investigate quickly
27,AML-028,100,98.4592856096734,99.38371424386936,GOOD,Ticket meets all quality standards.,Implement record count reconciliation,As a data quality analyst I want to reconcile record counts across processing stages so that data loss is detected
28,AML-029,100,98.95213208255281,99.58085283302113,GOOD,Ticket meets all quality standards.,Create data quality dashboard,As a data governance officer I want to visualize data quality metrics so that I can identify systemic issues
29,AML-030,80,36.84861872927628,62.739447491710514,GOOD,Ticket meets all quality standards.,Document NORKOM API integration specification,need to document how NORKOM integration works
30,AML-031,100,99.52065637983162,99.80826255193264,GOOD,Ticket meets all quality standards.,Set up development vs production environments,As a DevOps engineer I want separate dev and prod environments so that testing doesn't impact production
31,AML-032,100,98.46370132705388,99.38548053082155,GOOD,Ticket meets all quality standards.,Implement audit logging for all data access,As a compliance officer I want to log all access to sensitive data so that audit trail exists for regulators
